博库  bo2 ku4   
爱莫之助  ai4 mo4 zhi1 zhu4   
爱昵  ai4 ni4   
爱溺  ai4 ni4   
爱鸟周  ai4 niao3 zhou1   
爱气  ai4 qi4   
爱钱如命  ai4 qian2 ru2 ming4   
爱亲  ai4 qin1   
爱亲做亲  ai4 qin1 zuo4 qin1   
爱琴文化  ai4 qin2 wen2 hua4   
爱染  ai4 ran3   
爱人好士  ai4 ren2 hao3 shi4   
爱人利物  ai4 ren2 li4 wu4   
爱人以德  ai4 ren2 yi3 de2   
爱忍  ai4 ren3   
爱日  ai4 ri4   
爱日惜力  ai4 ri4 xi1 li4   
爱如己出  ai4 ru2 ji3 chu1   
爱如珍宝  ai4 ru2 zhen1 bao3   
爱色  ai4 se4   
爱啬  ai4 se4   
爱杀  ai4 sha1   
爱沙尼亚人  ai4 sha1 ni2 ya4 ren2   
爱赏  ai4 shang3   
爱尚  ai4 shang4   
爱身  ai4 shen1   
爱生恶死  ai4 sheng1 e4 si3   
爱省  ai4 sheng3   
爱势贪财  ai4 shi4 tan1 cai2   
爱嗜  ai4 shi4   
爱手反裘  ai4 shou3 fan3 qiu2   
爱树  ai4 shu4   
爱水  ai4 shui3   
爱死  ai4 si3   
爱素好古  ai4 su4 hao3 gu3   
爱棠  ai4 tang2   
爱玩  ai4 wan2   
爱网  ai4 wang3   
爱窝窝  ai4 wo1 wo5   
爱物  ai4 wu4   
爱物儿  ai4 wu4 er2   
爱惜羽毛  ai4 xi1 yu3 mao2   
爱习  ai4 xi2   
爱狎  ai4 xia2   
爱贤念旧  ai4 xian2 nian4 jiu4   
爱向  ai4 xiang4   
爱小  ai4 xiao3   
爱幸  ai4 xing4   
爱恤  ai4 xu4   
爱眼  ai4 yan3   
爱焰  ai4 yan4   
爱养  ai4 yang3   
爱异  ai4 yi4   
爱友  ai4 you3   
爱育  ai4 yu4   
爱欲  ai4 yu4   
爱遇  ai4 yu4   
爱誉  ai4 yu4   
爱缘  ai4 yuan2   
爱悦  ai4 yue4   
爱憎无常  ai4 zeng1 wu2 chang2   
爱者如宝  ai4 zhe3 ru2 bao3   
爱之必以其道  ai4 zhi1 bi4 yi3 qi2 dao4   
爱之如宝  ai4 zhi1 ru2 bao3   
爱之欲其生  ai4 zhi1 yu4 qi2 sheng1   
爱智  ai4 zhi4   
爱重  ai4 zhong4   
爱着  ai4 zhe5   
爱资哈尔大学  ai4 zi1 ha1 er3 da4 xue2   
爱滋病  ai4 zi1 bing4   
隘隘  ai4 ai4   
隘隘亨亨  ai4 ai4 heng1 heng1   
隘庳  ai4 bi4   
隘薄  ai4 bao2   
隘短  ai4 duan3   
隘厄  ai4 e4   
隘谷  ai4 gu3   
隘害  ai4 hai4   
隘角  ai4 jiao3   
隘窘  ai4 jiong3   
隘局  ai4 ju2   
隘狷  ai4 juan4   
隘絶  ai4 jue2   
隘陋  ai4 lou4   
隘门  ai4 men2   
隘穷  ai4 qiong2   
隘曲  ai4 qu3   
隘阒  ai4 qu4   
隘人  ai4 ren2   
隘塞  ai4 sai1   
隘慑  ai4 she4   
隘束  ai4 shu4   
隘狭  ai4 xia2   
隘陿  ai4 xia2   
隘险  ai4 xian3   
隘巷  ai4 xiang4   
隘形  ai4 xing2   
隘制  ai4 zhi4   
隘阻  ai4 zu3   
嗌嗌  yi4 yi4   
嗌喉  ai4 hou2   
嗌呕  yi4 ou3   
嗌喔  ai4 wo1   
碍断  ai4 duan4   
碍脚  ai4 jiao3   
碍叫  ai4 jiao4   
碍口识羞  ai4 kou3 shi2 xiu1   
碍目  ai4 mu4   
碍难从命  ai4 nan2 cong2 ming4   
碍难遵命  ai4 nan2 zun1 ming4   
碍塞  ai4 sai1   
碍上碍下  ai4 shang4 ai4 xia4   
碍挽  ai4 wan3   
碍崄  ai4 yan3   
碍夜  ai4 ye4   
碍足碍手  ai4 zu2 ai4 shou3   
叆叆  yi3 yi3   
叆叇  yi3 dai4   
叆靅  yi3 fei4   
叆霼  yi3 xi4   
暧暧  ai4 ai4   
暧曃  ai4 dai4   
暧昧不明  ai4 mei4 bu4 ming2   
暧昧之情  ai4 mei4 zhi1 qing2   
暧昧之事  ai4 mei4 zhi1 shi4   
暧乃  ai4 nai3   
暧然  ai4 ran2   
暧日  ai4 ri4   
暧态  ai4 tai4   
僾逮  ai4 dai3   
僾见忾闻  ai4 jian4 kai4 wen2   
僾尼  ai4 ni2   
僾然  ai4 ran2   
僾唈  ai4 yi4   
賹化  yi4 hua4   
餲饐  he2 yi4   
皧皧  ai4 ai4   
瞹瞹  ai4 ai4   
譺譺  yi2 yi2   
安安  an1 an1   
安安合适  an1 an1 he2 shi4   
安安蓝  an1 an1 lan2   
安安逸逸  an1 an1 yi4 yi4   
安办  an1 ban4   
安邦  an1 bang1   
安邦治国  an1 bang1 zhi4 guo2   
安保  an1 bao3   
安边  an1 bian1   
安便  an1 bian4   
安泊  an1 bo2   
安不忘危  an1 bu4 wang4 wei1   
安不忘虞  an1 bu4 wang4 yu2   
安步  an1 bu4   
安藏  an1 cang2   
安禅  an1 chan2   
安昌  an1 chang1   
安常  an1 chang2   
安常处顺  an1 chang2 chu4 shun4   
安常履顺  an1 chang2 lv3 shun4   
安常守分  an1 chang2 shou3 fen1   
安常守故  an1 chang2 shou3 gu4   
安常习故  an1 chang2 xi2 gu4   
安常習故  an1 chang2 xi2 gu4   
安车  an1 che1   
安车骨  an1 che1 gu3   
安车蒲轮  an1 che1 pu2 lun2   
安车软轮  an1 che1 ruan3 lun2   
安处  an1 chu4   
安处先生  an1 chu4 xian1 sheng1   
安淳  an1 chun2   
安次  an1 ci4   
安存  an1 cun2   
安措  an1 cuo4   
安打  an1 da3   
安大略湖  an1 da4 lve4 hu2   
安躭  an1 dan1   
安德  an1 de2   
安德罗马克  an1 de2 luo2 ma3 ke4   
安登  an1 deng1   
安坻  an1 di3   
安抵  an1 di3   
安地  an1 di4   
安谛  an1 di4   
安奠  an1 dian4   
安堵乐业  an1 du3 le4 ye4   
安堵如常  an1 du3 ru2 chang2   
安堵如故  an1 du3 ru2 gu4   
安度  an1 du4   
安分守常  an1 fen4 shou3 chang2   
安分守理  an1 fen4 shou3 li3   
安分守命  an1 fen4 shou3 ming4   
安分守已  an1 fen4 shou3 yi3   
安分守拙  an1 fen4 shou3 zhuo1   
安分随时  an1 fen4 sui2 shi2   
安分循理  an1 fen4 xun2 li3   
安分知足  an1 fen4 zhi1 zu2   
安份守己  an1 fen4 shou3 ji3   
安否  an1 fou3   
安伏  an1 fu2   
安服  an1 fu2   
安福  an1 fu2   
安福国会  an1 fu2 guo2 hui4   
安抚使  an1 fu3 shi3   
安咐  an1 fu4   
安阜  an1 fu4   
安复  an1 fu4   
安富  an1 fu4   
安富恤贫  an1 fu4 xu4 pin2   
安富恤穷  an1 fu4 xu4 qiong2   
安富尊荣  an1 fu4 zun1 rong2   
安覆  an1 fu4   
安干  an1 gan4   
安歌  an1 ge1   
安根  an1 gen1   
安弓  an1 gong1   
安公子  an1 gong1 zi3   
安谷  an1 gu3   
安固  an1 gu4   
安故重迁  an1 gu4 zhong4 qian1   
安圭拉岛  an1 gui1 la1 dao3   
安国  an1 guo2   
安国富民  an1 guo2 fu4 min2   
安国宁家  an1 guo2 ning2 jia1   
安国之道先戒为宝  an1 guo2 zhi1 dao4 xian1 jie4 wei2 bao3   
安和  an1 he2   
安赫尔瀑布  an1 he4 er3 pu4 bu4   
安候  an1 hou4   
安胡  an1 hu2   
安怀  an1 huai2   
安缓  an1 huan3   
安魂定魄  an1 hun2 ding4 po4   
安迹  an1 ji4   
安缉  an1 ji1   
安吉  an1 ji2   
安吉堡的磨工  an1 ji2 bao3 de5 mo2 gong1   
安戢  an1 ji2   
安集  an1 ji2   
安辑  an1 ji2   
安济  an1 ji4   
安济坊  an1 ji4 fang1   
安济桥  an1 ji4 qiao2   
安佳  an1 jia1   
安家乐业  an1 jia1 le4 ye4   
安驾  an1 jia4   
安健  an1 jian4   
安疆  an1 jiang1   
安节  an1 jie2   
安矜  an1 jin1   
安近  an1 jin4   
安靖  an1 jing4   
安居乐俗  an1 ju1 le4 su2   
安老怀少  an1 lao3 huai2 shao3   
安乐巾  an1 le4 jin1   
安乐世界  an1 le4 shi4 jie4   
安釐王  an1 xi1 wang2   
安立  an1 li4   
安利  an1 li4   
安恋  an1 lian4   
安良除暴  an1 liang2 chu2 bao4   
安陵  an1 ling2   
安陵君  an1 ling2 jun1   
安刘  an1 liu2   
安流  an1 liu2   
安榴  an1 liu2   
安禄  an1 lu4   
安禄山  an1 lu4 shan1   
安履  an1 lv3   
安曼  an1 man4   
安眉带眼  an1 mei2 dai4 yan3   
安眉待眼  an1 mei2 dai4 yan3   
安寐  an1 mei4   
安民榜  an1 min2 bang3   
安民济物  an1 min2 ji4 wu4   
安命  an1 ming4   
安穆  an1 mu4   
安内  an1 nei4   
安内攘外  an1 nei4 rang3 wai4   
安纳托利亚  an1 na4 tuo1 li4 ya4   
安娜卡列尼娜  an1 na4 ka3 lie4 ni2 na4   
安难  an1 nan2   
安难乐死  an1 nan2 le4 si3   
安宁温泉  an1 ning2 wen1 quan2   
安培力  an1 pei2 li4   
安辔  an1 pei4   
安贫  an1 pin2   
安贫乐贱  an1 pin2 le4 jian4   
安贫守道  an1 pin2 shou3 dao4   
安贫知命  an1 pin2 zhi1 ming4   
安平  an1 ping2   
安平桥  an1 ping2 qiao2   
安期  an1 qi1   
安期公  an1 qi1 gong1   
安期生  an1 qi1 sheng1   
安期枣  an1 qi1 zao3   
安期子  an1 qi1 zi3   
安其生  an1 qi2 sheng1   
安其所习  an1 qi2 suo3 xi2   
安强  an1 qiang2   
安亲  an1 qin1   
安庆保卫战  an1 qing4 bao3 wei4 zhan4   
安庆内军械所  an1 qing4 nei4 jun1 xie4 suo3   
安庆起义  an1 qing4 qi3 yi4   
安庆市  an1 qing4 shi4   
安穷  an1 qiong2   
安丘  an1 qiu1   
安驱  an1 qu1   
安全套  an1 quan2 tao4   
安全梯  an1 quan2 ti1   
安全剃刀  an1 quan2 ti4 dao1   
安全网  an1 quan2 wang3   
安全衣  an1 quan2 yi1   
安痊  an1 quan2   
安劝  an1 quan4   
安然如故  an1 ran2 ru2 gu4   
安攘  an1 rang3   
安饶  an1 rao2   
安扰  an1 rao3   
安人  an1 ren2   
安仁  an1 ren2   
安忍  an1 ren3   
安忍残贼  an1 ren3 can2 zei2   
安忍无亲  an1 ren3 wu2 qin1   
安忍之怀  an1 ren3 zhi1 huai2   
安忍阻兵  an1 ren3 zu3 bing1   
安荣  an1 rong2   
安柔  an1 rou2   
安如盘石  an1 ru2 pan2 shi2   
安如太山  an1 ru2 tai4 shan1   
安若泰山  an1 ruo4 tai4 shan1   
安弱守雌  an1 ruo4 shou3 ci2   
安莎社  an1 sha1 she4   
安善  an1 shan4   
安身乐业  an1 shen1 le4 ye4   
安身为乐  an1 shen1 wei2 le4   
安身之处  an1 shen1 zhi1 chu4   
安神定魄  an1 shen2 ding4 po4   
安生服业  an1 sheng1 fu2 ye4   
安生乐业  an1 sheng1 le4 ye4   
安胜  an1 sheng4   
安石榴  an1 shi2 liu5   
安时  an1 shi2   
安时处顺  an1 shi2 chu4 shun4   
安食  an1 shi2   
安史  an1 shi3   
安矢  an1 shi3   
安世默识  an1 shi4 mo4 shi2   
安室利处  an1 shi4 li4 chu4   
安适如常  an1 shi4 ru2 chang2   
安舒  an1 shu1   
安竖  an1 shu4   
安税  an1 shui4   
安顺龙宫  an1 shun4 long2 gong1   
安顺市  an1 shun4 shi4   
安肆  an1 si4   
安素  an1 su4   
安绥  an1 sui2   
安所  an1 suo3   
安坦  an1 tan3   
安特卫普  an1 te4 wei4 pu3   
安藤广重  an1 teng2 guang3 zhong4   
安提戈涅  an1 ti2 ge1 nie4   
安提瓜和巴布达  an1 ti2 gua1 he2 ba1 bu4 da2   
安体  an1 ti3   
安怗  an1 zhan1   
安贴  an1 tie1   
安帖  an1 tie1   
安停  an1 ting2   
安童  an1 tong2   
安徒生童话集  an1 tu2 sheng1 tong2 hua4 ji2   
安土  an1 tu3   
安土乐业  an1 tu3 le4 ye4   
安土息民  an1 tu3 xi1 min2   
安土重旧  an1 tu3 zhong4 jiu4   
安土重居  an1 tu3 zhong4 ju1   
安托  an1 tuo1   
安危相易  an1 wei1 xiang1 yi4   
安危相易祸福相生  an1 wei1 xiang1 yi4 huo4 fu2 xiang1 sheng1   
安西都护府  an1 xi1 dou1 hu4 fu3   
安西四镇  an1 xi1 si4 zhen4   
安息日  an1 xi1 ri4   
安习  an1 xi2   
安席  an1 xi2   
安暇  an1 xia2   
安下  an1 xia4   
安闲自得  an1 xian2 zi4 de2   
安闲自在  an1 xian2 zi4 zai4   
安娴  an1 xian2   
安详恭敬  an1 xiang2 gong1 jing4   
安祥  an1 xiang2   
安祥恭敬  an1 xiang2 gong1 jing4   
安翔  an1 xiang2   
安谐  an1 xie2   
安心定志  an1 xin1 ding4 zhi4   
安心乐业  an1 xin1 le4 ye4   
安心乐意  an1 xin1 le4 yi4   
安心立命  an1 xin1 li4 ming4   
安心落意  an1 xin1 luo4 yi4   
安心恬荡  an1 xin1 tian2 dang4   
安行  an1 hang2   
安行疾斗  an1 hang2 ji2 dou4   
安休  an1 xiu1   
安徐  an1 xu2   
安恤  an1 xu4   
安循  an1 xun2   
安言  an1 yan2   
安宴  an1 yan4   
安晏  an1 yan4   
安燕  an1 yan4   
安阳李  an1 yang2 li3   
安阳市  an1 yang2 shi4   
安养  an1 yang3   
安养院  an1 yang3 yuan4   
安业  an1 ye4   
安宜  an1 yi2   
安怡  an1 yi2   
安乂  an1 yi4   
安佚  an1 yi4   
安易  an1 yi4   
安意  an1 yi4   
安隐  an1 yin3   
安营下寨  an1 ying2 xia4 zhai4   
安于覆盂  an1 yu2 fu4 yu2   
安于故俗溺于旧闻  an1 yu2 gu4 su2 ni4 yu2 jiu4 wen2   
安于盘石  an1 yu2 pan2 shi2   
安于磐石  an1 yu2 pan2 shi2   
安于所习  an1 yu2 suo3 xi2   
安于泰山  an1 yu2 tai4 shan1   
安于一隅  an1 yu2 yi1 yu2   
安於盘石  an1 yu1 pan2 shi2   
安於现状  an1 yu1 xian4 zhuang4   
安舆  an1 yu2   
安育  an1 yu4   
安喻  an1 yu4   
安愈  an1 yu4   
安豫  an1 yu4   
安燠  an1 yu4   
安源路矿工人大罢工  an1 yuan2 lu4 kuang4 gong1 ren2 da4 ba4 gong1   
安哉  an1 zai1   
安札  an1 zha2   
安宅  an1 zhai2   
安宅正路  an1 zhai2 zheng4 lu4   
安贞  an1 zhen1   
安祯  an1 zhen1   
安枕而卧  an1 zhen3 er2 wo4   
安镇  an1 zhen4   
安之若固  an1 zhi1 ruo4 gu4   
安之若命  an1 zhi1 ruo4 ming4   
安止  an1 zhi3   
安志  an1 zhi4   
安制  an1 zhi4   
安种  an1 zhong4   
安众  an1 zhong4   
安重  an1 zhong4   
安周星  an1 zhou1 xing1   
安住  an1 zhu4   
安着  an1 zhe5   
安子  an1 zi3   
安足  an1 zu2   
安坐  an1 zuo4   
安坐待毙  an1 zuo4 dai4 bi4   
侒侒  an3 an3   
桉籍  an1 ji2   
桉行  an1 hang2   
氨基比林  an1 ji1 bi3 lin2   
氨纶  an1 lun2   
庵蔼  an1 ai3   
庵薆  an1 ai4   
庵庵  an1 an1   
庵庐  an1 lu2   
庵闾  an1 lv2   
庵罗  an1 luo2   
庵摩勒  an1 mo2 le4   
庵摩罗  an1 mo2 luo2   
庵舍  an1 she3   
庵蔚  an1 wei4   
庵子  an1 zi3   
谙版  an1 ban3   
谙尝  an1 chang2   
谙达  an1 da2   
谙分  an1 fen1   
谙乎  an1 hu1   
谙忽  an1 hu1   
谙记  an1 ji4   
谙解  an1 jie3   
谙究  an1 jiu1   
谙历  an1 li4   
谙识  an1 shi2   
谙实  an1 shi2   
谙事  an1 shi4   
谙诵  an1 song4   
谙通  an1 tong1   
谙委  an1 wei3   
谙悉  an1 xi1   
谙习  an1 xi2   
谙闲  an1 xian2   
谙详  an1 xiang2   
谙晓  an1 xiao3   
谙行  an1 hang2   
谙忆  an1 yi4   
谙知  an1 zhi1   
媕阿  yan3 a1   
媕妸  yan3 e3   
媕娿  yan3 e3   
媕婀  yan3 e1   
媕咔  yan3 ka1   
媕陋  yan3 lou4   
媕浅  yan3 qian3   
媕雅  yan3 ya3   
媕呓  an1 yi4   
痷茶  ye4 cha2   
痷婪  ye4 lan2   
腤臜  an1 za1   
鹌鹑骨饳儿  an1 chun2 gu3 duo4 er2   
鹌鹑馉饳儿  an1 chun2 gu3 duo4 er2   
鹌子羹  an1 zi3 geng1   
鞍鞴  an1 bei4   
鞍不离马甲不离身  an1 bu4 li2 ma3 jia3 bu4 li2 shen1   
鞍韂  an1 chan4   
鞍车  an1 che1   
鞍花  an1 hua1   
鞍鞿  an1 ji1   
鞍甲  an1 jia3   
鞍铠  an1 kai3   
鞍勒  an1 le4   
鞍笼  an1 long2   
鞍马劳倦  an1 ma3 lao2 juan4   
鞍马劳困  an1 ma3 lao2 kun4   
鞍马劳神  an1 ma3 lao2 shen2   
鞍马之劳  an1 ma3 zhi1 lao2   
鞍帕  an1 pa4   
鞍前马後  an1 qian2 ma3 hou4   
鞍桥  an1 qiao2   
鞍鞒  an1 qiao2   
鞍山市  an1 shan1 shi4   
鞍山铁矿  an1 shan1 tie3 kuang4   
鞍屉  an1 ti4   
鞍驮  an1 tuo2   
鞍衔  an1 xian2   
鞍子局  an1 zi5 ju2   
鞍座  an1 zuo4   
闇隘  an4 ai4   
闇闇  an4 an4   
闇鄙  an4 bi3   
闇敝  an1 bi4   
闇愎  an4 bi4   
闇蔽  an4 bi4   
闇薄  an4 bao2   
闇淡  an4 dan4   
闇丁  an4 ding1   
闇短  an4 duan3   
闇惰  an1 duo4   
闇夫  an4 fu1   
闇干  an4 gan4   
闇合  an1 he2   
闇很  an1 hen3   
闇忽  an4 hu1   
闇曶  an4 hu1   
闇化  an4 hua4   
闇晦  an1 hui4   
闇惑  an1 huo4   
闇奸  an4 jian1   
闇解  an4 jie3   
闇君  an1 jun1   
闇劣  an4 lie4   
闇陋  an4 lou4   
闇瞀  an4 mao4   
闇没  an4 mei2   
闇昧  an1 mei4   
闇沕  an4 wu4   
闇眇  an4 miao3   
闇冥  an4 ming2   
闇暝  an4 ming2   
闇莫  an4 mo4   
闇漠  an4 mo4   
闇墨  an4 mo4   
闇默  an4 mo4   
闇穆  an4 mu4   
闇鸟  an1 niao3   
闇懦  an1 nuo4   
闇魄  an4 po4   
闇然  an4 ran2   
闇人  an4 ren2   
闇弱  an4 ruo4   
闇塞  an1 sai1   
闇世  an4 shi4   
闇室  an4 shi4   
闇室不欺  an4 shi4 bu4 qi1   
闇騃  an4 si4   
闇俗  an4 su2   
闇跳  an1 tiao4   
闇投  an4 tou2   
闇王  an4 wang2   
闇汶  an4 wen4   
闇无天日  an4 wu2 tian1 ri4   
闇夕  an1 xi1   
闇相  an4 xiang1   
闇行  an1 hang2   
闇修  an4 xiu1   
闇虚  an4 xu1   
闇野  an4 ye3   
闇黝  an4 you3   
闇彰  an4 zhang1   
闇黮  an4 zhen4   
闇政  an4 zheng4   
闇中  an4 zhong1   
闇主  an1 zhu3   
闇拙  an4 zhuo1   
鮟鱇  an4 kang1   
韽韽  an1 an1   
啽咔  an2 ka1   
啽呓  an1 yi4   
俺家  an3 jia1   
俺家的  an3 jia1 de5   
俺每  an3 mei3   
俺们  an3 men5   
俺咱  an3 zan2   
唵叭国  an3 ba1 guo2   
唵叭香  an3 ba1 xiang1   
唵吧香  an3 ba5 xiang1   
唵噆  an3 zan3   
唵嗒  an3 da1   
唵诨  an3 hun4   
唵呓  an3 yi4   
埯子  an3 zi3   
揞青盲  an3 qing1 mang2   
晻濭  an4 kai4   
晻薆  an4 ai4   
晻晻  an4 an4   
晻淡  an4 dan4   
晻澹  an4 dan4   
晻霮  an4 dan4   
晻忽  an4 hu1   
晻曶  an4 hu1   
晻昧  an3 mei4   
晻莫  an4 mo4   
晻然  an4 ran2   
晻冉  an3 ran3   
晻世  an4 shi4   
晻曀  an4 yi4   
晻翳  an3 yi4   
晻映  an4 ying4   
晻鬰  an4 yu4   
晻黮  an4 zhen4   
犴狴  an4 bi4   
犴噬  an4 shi4   
犴讼  an4 song4   
犴庭  an4 ting2   
犴圄  an4 yu3   
犴狱  an4 yu4   
岸岸  an4 an4   
岸谷  an4 gu3   
岸谷之变  an4 gu3 zhi1 bian4   
岸忽  an4 hu1   
岸舰导弹  an4 jian4 dao3 dan4   
岸巾  an4 jin1   
岸然道貌  an4 ran2 dao4 mao4   
岸埽  an4 sao4   
岸头  an4 tou2   
岸限  an4 xian4   
岸异  an4 yi4   
岸狱  an4 yu4   
岸帻  an4 ze2   
按班  an4 ban1   
按板  an4 ban3   
按本  an4 ben3   
按比  an4 bi3   
按兵  an4 bing1   
按兵不举  an4 bing1 bu4 ju3   
按兵束甲  an4 bing1 shu4 jia3   
按步就班  an4 bu4 jiu4 ban1   
按部  an4 bu4   
按部就队  an4 bu4 jiu4 dui4   
按察  an4 cha2   
按惩  an4 cheng2   
按辞  an4 ci2   
按答  an4 da2   
按弹  an4 dan4   
按定  an4 ding4   
按牍  an4 du2   
按堵  an4 du3   
按堵如故  an4 du3 ru2 gu4   
按发  an4 fa1   
按法  an4 fa3   
按抚  an4 fu3   
按覆  an4 fu4   
按歌  an4 ge1   
按阁  an4 ge2   
按鹘  an4 gu3   
按喝  an4 he1   
按劾  an4 he2   
按核  an4 he2   
按迹循踪  an4 ji4 xun2 zong1   
按籍  an4 ji2   
按几  an4 ji3   
按甲  an4 jia3   
按甲不出  an4 jia3 bu4 chu1   
按甲不动  an4 jia3 bu4 dong4   
按甲寝兵  an4 jia3 qin3 bing1   
按甲休兵  an4 jia3 xiu1 bing1   
按检  an4 jian3   
按剑  an4 jian4   
按节  an4 jie2   
按诘  an4 jie2   
按金  an4 jin1   
按酒  an4 jiu3   
按鞠  an4 ju1   
按鞫  an4 ju1   
按举  an4 ju3   
按据  an4 ju4   
按决  an4 jue2   
按军  an4 jun1   
按扣  an4 kou4   
按乐  an4 le4   
按练  an4 lian4   
按临  an4 lin2   
按铃  an4 ling2   
按论  an4 lun4   
按名责实  an4 ming2 ze2 shi2   
按磨  an4 mo2   
按纳  an4 na4   
按纳不下  an4 na4 bu4 xia4   
按纳不住  an4 na4 bu4 zhu4   
按捺不下  an4 na4 bu4 xia4   
按捺不住  an4 na4 bu4 zhu4   
按耐  an4 nai4   
按偶  an4 ou3   
按拍  an4 pai1   
按辔  an4 pei4   
按辔徐行  an4 pei4 xu2 xing2   
按强助弱  an4 qiang2 zhu4 ruo4   
按蹻  an4 qiao1   
按求  an4 qiu2   
按曲  an4 qu3   
按杀  an4 sha1   
按觞  an4 shang1   
按省  an4 sheng3   
按实  an4 shi2   
按视  an4 shi4   
按试  an4 shi4   
按讨  an4 tao3   
按田  an4 tian2   
按图索籍  an4 tu2 suo3 ji2   
按图索骏  an4 tu2 suo3 jun4   
按屯  an4 tun2   
按味  an4 wei4   
按蚊  an4 wen2   
按问  an4 wen4   
按舞  an4 wu3   
按习  an4 xi2   
按下  an4 xia4   
按县  an4 xian4   
按校  an4 xiao4   
按协  an4 xie2   
按行  an4 hang2   
按行自抑  an4 hang2 zi4 yi4   
按选  an4 xuan3   
按寻  an4 xun2   
按巡  an4 xun2   
按讯  an4 xun4   
按眼  an4 yan3   
按验  an4 yan4   
按擫  an4 ye4   
按抑  an4 yi4   
按鹰  an4 ying1   
按狱  an4 yu4   
按院  an4 yuan4   
按阅  an4 yue4   
按责  an4 ze2   
按章  an4 zhang1   
按证  an4 zheng4   
按治  an4 zhi4   
按置  an4 zhi4   
按罪  an4 zui4   
案杯  an4 bei1   
案比  an4 bi3   
案辨  an4 bian4   
案兵  an4 bing1   
案兵束甲  an4 bing1 shu4 jia3   
案伯  an4 bo2   
案部  an4 bu4   
案察  an4 cha2   
案沓  an4 ta4   
案典  an4 dian3   
案牒  an4 die2   
案椟  an4 du2   
案牍劳形  an4 du2 lao2 xing2   
案牍之劳  an4 du2 zhi1 lao2   
案堵  an4 du3   
案堵如故  an4 du3 ru2 gu4   
案队  an4 dui4   
案法  an4 fa3   
案放  an4 fang4   
案奉  an4 feng4   
案抚  an4 fu3   
案覆  an4 fu4   
案轨  an4 gui3   
案晷  an4 gui3   
案户比民  an4 hu4 bi3 min2   
案缉  an4 ji1   
案籍  an4 ji2   
案记  an4 ji4   
案纪  an4 ji4   
案甲  an4 jia3   
案甲休兵  an4 jia3 xiu1 bing1   
案检  an4 jian3   
案剑  an4 jian4   
案剑瞋目  an4 jian4 chen1 mu4   
案节  an4 jie2   
案酒  an4 jiu3   
案鞫  an4 ju1   
案举  an4 ju3   
案具  an4 ju4   
案剧  an4 ju4   
案据  an4 ju4   
案考  an4 kao3   
案款状  an4 kuan3 zhuang4   
案览  an4 lan3   
案理  an4 li3   
案吏  an4 li4   
案列  an4 lie4   
案临  an4 lin2   
案论  an4 lun4   
案脉  an4 mai4   
案摩  an4 mo2   
案目  an4 mu4   
案齐眉  an4 qi2 mei2   
案杀  an4 sha1   
案省  an4 sheng3   
案时  an4 shi2   
案事  an4 shi4   
案视  an4 shi4   
案首  an4 shou3   
案土  an4 tu3   
案屯  an4 tun2   
案抏  an4 wan2   
案卫  an4 wei4   
案问  an4 wen4   
案无留牍  an4 wu2 liu2 du2   
案扤  an4 wu4   
案陷  an4 xian4   
案校  an4 xiao4   
案行  an4 hang2   
案讯  an4 xun4   
案衍  an4 yan3   
案验  an4 yan4   
案衣  an4 yi1   
案萤干死  an4 ying2 gan4 si3   
案友  an4 you3   
案语  an4 yu3   
案元  an4 yuan2   
案掾  an4 yuan4   
案责  an4 ze2   
案照  an4 zhao4   
案志  an4 zhi4   
案治  an4 zhi4   
案致  an4 zhi4   
案诛  an4 zhu1   
案准  an4 zhun3   
案桌  an4 zhuo1   
案奏  an4 zou4   
案罪  an4 zui4   
案坐  an4 zuo4   
豻侯  an4 hou2   
豻户  an4 hu4   
豻狱  an4 yu4   
暗蔼  an4 ai3   
暗暧  an4 ai4   
暗白  an4 bai2   
暗愎  an4 bi4   
暗蔽  an4 bi4   
暗病  an4 bing4   
暗黪  an4 can3   
暗藏杀机  an4 cang2 sha1 ji1   
暗查  an4 cha2   
暗察明访  an4 cha2 ming2 fang3   
暗差暗  an4 cha4 an4   
暗唱  an4 chang4   
暗尘  an4 chen2   
暗虫  an4 chong2   
暗锤打人  an4 chui2 da3 ren2   
暗春  an4 chun1   
暗沓  an4 ta4   
暗淡无光  an4 dan4 wu2 guang1   
暗澹  an4 dan4   
暗当  an4 dang1   
暗灯  an4 deng1   
暗滴  an4 di1   
暗底子  an4 di3 zi5   
暗点头  an4 dian3 tou2   
暗洞洞  an4 dong4 dong4   
暗斗明争  an4 dou4 ming2 zheng1   
暗度  an4 du4   
暗度金针  an4 du4 jin1 zhen1   
暗渡陈仓  an4 du4 chen2 cang1   
暗短  an4 duan3   
暗对  an4 dui4   
暗钝  an4 dun4   
暗风  an4 feng1   
暗夫  an4 fu1   
暗戆  an4 zhuang4   
暗谷  an4 gu3   
暗柜  an4 gui4   
暗过  an4 guo4   
暗海  an4 hai3   
暗耗  an4 hao4   
暗恨  an4 hen4   
暗曶  an4 hu1   
暗化  an4 hua4   
暗话  an4 hua4   
暗换  an4 huan4   
暗秽  an4 hui4   
暗昏  an4 hun1   
暗昏昏  an4 hun1 hun1   
暗惑  an4 huo4   
暗机  an4 ji1   
暗箭明枪  an4 jian4 ming2 qiang1   
暗箭难防  an4 jian4 nan2 fang2   
暗箭中人  an4 jian4 zhong1 ren2   
暗将  an4 jiang1   
